category,type,year,count
Short-term visitor arrivals,Visitor,2019,836350
Short-term visitor arrivals,Visitor,2024,761050
Short-term visitor arrivals,Visitor,2025,761230
Short-term visitor arrivals,Visitor,2026,818990
Long-term visitor arrivals,Visitor,2019,50030
Long-term visitor arrivals,Visitor,2024,57320
Long-term visitor arrivals,Visitor,2025,61240
Long-term visitor arrivals,Visitor,2026,72100
Short-term resident returns,Resident,2019,753510
Short-term resident returns,Resident,2024,767110
Short-term resident returns,Resident,2025,840080
Short-term resident returns,Resident,2026,910450
Long-term resident returns,Resident,2019,10980
Long-term resident returns,Resident,2024,13230
Long-term resident returns,Resident,2025,12550
Long-term resident returns,Resident,2026,12420
