year,duration,arrivals
2019,Under 1 week,2561590
2019,1 and under 2 weeks,2807670
2019,2 weeks and under 1 month,1855060
2019,1 and under 2 months,727200
2019,2 and under 3 months,355490
2019,3 and under 6 months,594900
2019,6 and under 12 months,564010
2020,Under 1 week,448600
2020,1 and under 2 weeks,432520
2020,2 weeks and under 1 month,366250
2020,1 and under 2 months,169520
2020,2 and under 3 months,82520
2020,3 and under 6 months,152430
2020,6 and under 12 months,175920
2021,Under 1 week,34780
2021,1 and under 2 weeks,34550
2021,2 weeks and under 1 month,47270
2021,1 and under 2 months,42500
2021,2 and under 3 months,24480
2021,3 and under 6 months,31070
2021,6 and under 12 months,31620
2022,Under 1 week,624270
2022,1 and under 2 weeks,834080
2022,2 weeks and under 1 month,858190
2022,1 and under 2 months,441820
2022,2 and under 3 months,229160
2022,3 and under 6 months,351770
2022,6 and under 12 months,355050
2023,Under 1 week,1635470
2023,1 and under 2 weeks,1890230
2023,2 weeks and under 1 month,1527750
2023,1 and under 2 months,700630
2023,2 and under 3 months,338390
2023,3 and under 6 months,523580
2023,6 and under 12 months,571400
2024,Under 1 week,1995770
2024,1 and under 2 weeks,2365810
2024,2 weeks and under 1 month,1648450
2024,1 and under 2 months,706740
2024,2 and under 3 months,357610
2024,3 and under 6 months,575500
2024,6 and under 12 months,621040
2025,Under 1 week,2131110
2025,1 and under 2 weeks,2586190
2025,2 weeks and under 1 month,1798010
2025,1 and under 2 months,761520
2025,2 and under 3 months,388680
2025,3 and under 6 months,618230
2025,6 and under 12 months,653630
2026,Under 1 week,578880
2026,1 and under 2 weeks,682280
2026,2 weeks and under 1 month,476690
2026,1 and under 2 months,208860
2026,2 and under 3 months,103520
2026,3 and under 6 months,191450
2026,6 and under 12 months,237220
