state,state_full,year,visitors
NSW,New South Wales,2019,314010
NSW,New South Wales,2024,282310
NSW,New South Wales,2025,286400
NSW,New South Wales,2026,314490
Vic.,Victoria,2019,234430
Vic.,Victoria,2024,199120
Vic.,Victoria,2025,212550
Vic.,Victoria,2026,220620
Qld,Queensland,2019,166420
Qld,Queensland,2024,159500
Qld,Queensland,2025,133990
Qld,Queensland,2026,146390
SA,South Australia,2019,24700
SA,South Australia,2024,22290
SA,South Australia,2025,24250
SA,South Australia,2026,25140
WA,Western Australia,2019,74810
WA,Western Australia,2024,76560
WA,Western Australia,2025,81900
WA,Western Australia,2026,87900
Tas.,Tasmania,2019,8730
Tas.,Tasmania,2024,9210
Tas.,Tasmania,2025,9540
Tas.,Tasmania,2026,10370
NT,Northern Territory,2019,4920
NT,Northern Territory,2024,3580
NT,Northern Territory,2025,4490
NT,Northern Territory,2026,5570
ACT,Australian Capital Territory,2019,8280
ACT,Australian Capital Territory,2024,8390
ACT,Australian Capital Territory,2025,8050
ACT,Australian Capital Territory,2026,8470
