country,trips_2024,trips_2025,trips_change_pct,nights_2024,nights_2025,nights_change_pct,spend_2024,spend_2025,spend_change_pct
New Zealand,1260,1303,3,14804,15402,4,2064,2410,17
Japan,362,385,6,12931,14562,13,1435,1617,13
Hong Kong,199,228,15,5249,6736,28,873,1128,29
Singapore,361,386,7,5446,5949,9,1088,1122,3
Malaysia,184,194,5,5292,5274,0,685,705,3
Indonesia,202,218,8,10340,9531,-8,998,976,-2
Taiwan,149,175,17,9850,9515,-3,903,978,8
Thailand,90,91,2,5149,6064,18,457,460,1
Vietnam,160,154,-4,6525,7961,22,833,906,9
Philippines,164,179,9,10857,10901,0,601,608,1
South Korea,342,363,6,11038,9377,-15,1571,1445,-8
China,829,974,18,45058,53414,19,8065,11246,39
India,421,429,2,28827,28355,-2,1660,1835,11
Other Asia,204,217,7,14532,15965,10,1198,1282,7
United States of America,669,697,4,12063,12104,0,1993,2396,20
Canada,154,161,4,4506,5101,13,555,665,20
United Kingdom,605,721,19,21858,28128,29,2195,2870,31
Germany,159,169,6,6214,5741,-8,612,685,12
Scandinavia,82,86,5,3346,3066,-8,312,375,20
France,122,139,14,9324,11342,22,680,925,36
Italy,63,74,17,4994,5007,0,348,401,15
Netherlands,48,52,8,1711,1703,0,194,215,11
Switzerland,41,44,7,1366,1552,14,199,262,31
Other Europe,257,292,14,13898,13051,-6,1159,1410,22
Other Countries,508,541,7,29818,26875,-10,2230,2270,2
